drug_id,name,pubchem_id,drugbank_id,kegg_id,note
"PA164744510","lofexidine","30668","DB04948","D04765",""
"PA166114922","lomitapide","9853053","DB08827","D09637",""
"PA166182743","lorlatinib","71731823","DB12130","D11012",""
"PA450268","losartan","3961","DB00678","D00357",""
"PA166182748","lusutrombopag","49843517","DB13125","D10476",""
"PA166114925","mafenide","3998","DB06795","D01166",""
"PA164768835","maraviroc","3002977","DB04835","D06670",""
"PA450338","meclizine","4034","DB00737","D01317",""
"PA450348","mefloquine","4046","DB00358","D00831",""
"PA450353","meloxicam","54677470","DB00814","D00969",""
"PA164748741","mepivacaine","4062","DB00961","D00738",""
"PA450379","mercaptopurine","667490","DB01033","D00161",""
"PA166183788","metabutethamine","11115","DB13578","","KEGG not found"
"PA450457","methylene blue","","","D02312","PubChem not found; DrugBank not found"
"PA450475","metoclopramide","4168","DB01233","D00726",""
"PA450480","metoprolol","4171","DB00264","D00601",""
"PA166169917","midostaurin","9829523","DB06595","D05029",""
"PA166182881","migalastat","176077","DB05018","D05031",""
"PA166114927","mipomersen","71301230","","D08946","DrugBank not found"
"PA166177513","mirabegron","9865528","DB08893","D09535",""
"PA450529","mivacurium chloride","","","D00763","PubChem not found; DrugBank not found"
"PA452615","moclobemide","4235","DB01171","D02561",""
"PA450530","modafinil","4236","DB00745","D01832",""
"PA166163260","moviprep","","","D11552","PubChem not found; DrugBank not found"
"PA450555","moxifloxacin","152946","DB00218","D00874",""
"PA164748728","mycophenolic acid","","","D05096","PubChem not found; DrugBank not found"
"PA164746384","nalidixic acid","","","D00183","PubChem not found; DrugBank not found"
"PA151958426","nebivolol","71301","DB04861","D05127",""
"PA450603","nefazodone","4449","DB01149","D00819",""
"PA450606","nelfinavir","64143","DB00220","D00899",""
"PA165291472","neratinib","9915743","DB11828","D08950",""
"PA166184081","nicorandil","47528","DB09220","D01810",""
"PA165958345","nilotinib","644241","DB04868","D06413",""
"PA166131610","niraparib","24958200","DB11793","D10140",""
"PA450640","nitrofurantoin","6604200","DB00698","D00439",""
"PA450644","nitroglycerin","4510","DB00727","D00515",""
"PA166129522","nivolumab","","","D10316","PubChem not found; DrugBank not found"
"PA450654","norfloxacin","4539","DB01059","D00210",""
"PA450657","nortriptyline","4543","DB00540","D00816",""
"PA166182882","nusinersen","","","D10791","PubChem not found; DrugBank not found"
"PA165291493","ofatumumab","","","D09314","PubChem not found; DrugBank not found"
"PA450684","ofloxacin","4583","DB01165","D00186",""
"PA450688","olanzapine","135398745","DB00334","D00454",""
"PA164920420","olaparib","23725625","DB09074","D09730",""
"PA166163434","olaratumab","","","D09939","PubChem not found; DrugBank not found"
"PA166163408","ombitasvir / paritaprevir / ritonavir","","","","PubChem not found; DrugBank not found; KEGG not found"
"PA450704","omeprazole","4594","DB00338","D00455",""
"PA450705","ondansetron","4595","DB00904","D00456",""
"PA164712951","Opium derivatives and expectorants","","","","PubChem not found; DrugBank not found; KEGG not found"
"PA166131626","osimertinib","71496458","DB09330","D10766",""
